learning_rate,discount_factor,exploration_start,average_steps,average_reward,sub_goal_success_rate,goal_success_rate,heatmap_file
0.1,0.1,0.1,281.38,-182.9,90.0,100.0,heatmap_111.png
0.1,0.1,0.5,319.27,-342.83,93.0,100.0,heatmap_115.png
0.1,0.1,1.0,392.07,-653.47,95.0,100.0,heatmap_1110.png
0.1,0.5,0.1,85.22,33.21,91.0,100.0,heatmap_151.png
0.1,0.5,0.5,94.37,-33.18,94.0,100.0,heatmap_155.png
0.1,0.5,1.0,137.54,-263.88,96.0,100.0,heatmap_1510.png
0.1,0.9,0.1,58.36,59.65,93.0,100.0,heatmap_191.png
0.1,0.9,0.5,65.67,6.26,96.0,100.0,heatmap_195.png
0.1,0.9,1.0,117.77,-236.37,99.0,100.0,heatmap_1910.png
0.5,0.1,0.1,36.04,98.98,96.0,100.0,heatmap_511.png
0.5,0.1,0.5,61.53,22.22,98.0,100.0,heatmap_515.png
0.5,0.1,1.0,83.8,-85.25,97.0,100.0,heatmap_5110.png
0.5,0.5,0.1,28.14,108.32,96.0,100.0,heatmap_551.png
0.5,0.5,0.5,33.77,72.69,97.0,100.0,heatmap_555.png
0.5,0.5,1.0,73.0,-136.4,98.0,100.0,heatmap_5510.png
0.5,0.9,0.1,27.06,108.2,94.0,100.0,heatmap_591.png
0.5,0.9,0.5,39.44,57.54,98.0,100.0,heatmap_595.png
0.5,0.9,1.0,87.13,-215.12,100.0,100.0,heatmap_5910.png
0.9,0.1,0.1,24.94,112.84,94.0,100.0,heatmap_911.png
0.9,0.1,0.5,28.22,89.49,97.0,100.0,heatmap_915.png
0.9,0.1,1.0,68.07,-106.6,100.0,100.0,heatmap_9110.png
0.9,0.5,0.1,23.74,113.8,96.0,100.0,heatmap_951.png
0.9,0.5,0.5,27.37,91.51,97.0,100.0,heatmap_955.png
0.9,0.5,1.0,46.84,-17.96,100.0,100.0,heatmap_9510.png
0.9,0.9,0.1,25.32,111.29,97.0,100.0,heatmap_991.png
0.9,0.9,0.5,33.87,71.81,99.0,100.0,heatmap_995.png
0.9,0.9,1.0,66.88,-107.48,100.0,100.0,heatmap_9910.png
